DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
39905,AP,4434.578,4359.308,4361.172,4330.359,4394.986,4814.739,5404.528,5568.862,5521.754,5454.063,5340.552,5216.528,5184.156,5131.036,5009.216,4904.26,4971.791,5005.198,5020.616,5174.45,5391.59,5147.747,4791.812,4427.87
39906,AP,4164.295,4018.909,4014.4,3932.601,3992.432,4314.525,4860.363,5140.896,5209.678,5291.203,5283.241,5215.745,5175.143,5147.74,5063.298,5048.629,5096.476,5166.953,5161.472,5269.59,5328.396,5174.001,4892.061,4486.228
39907,AP,4245.259,4132.824,4107.227,4087.596,4206.105,4359.84,4573.825,4821.413,5008.213,5114.566,5098.873,5041.664,4915.636,4771.973,4632.427,4522.422,4506.522,4499.359,4465.42,4633.953,4932.081,4854.309,4620.057,4343.08
39908,AP,4074.207,3957.624,3906.498,3950.649,3974.826,4108.67,4308.247,4472.535,4629.342,4675.322,4596.943,4477.101,4401.795,4325.802,4177.351,4164.188,4182.871,4246.831,4339.748,4504.808,4778.799,4687.535,4374.49,4032.004
39909,AP,3808.13,3758.671,3769.991,3738.825,3829.488,4183.757,4779.151,5109.487,5169.611,5277.271,5336.583,5361.597,5386.806,5384.819,5288.04,5287.725,5306.4,5420.153,5509.183,5714.666,5926,5740.935,5414.73,5080.033
39910,AP,4831.845,4754.526,4760.116,4822.486,4935.374,5255.671,5860.268,6135.334,6095.538,6072.72,6111.934,6069.098,6010.568,5948.637,5869.957,5788.361,5856.31,5932.678,6056.114,6228.619,6408.643,6213.849,5836.862,5476.574
39911,AP,5166.369,5064.276,5040.041,5050.521,5134.478,5441.405,5974.335,6193.02,6117.934,6069.207,5912.584,5766.194,5641.826,5592.32,5410.258,5294.163,5293.913,5261.684,5342.989,5502.017,5784.297,5631.479,5334.058,4999.813
39912,AP,4754.351,4725.13,4703.181,4735.427,4808.42,5150.008,5645.966,5872.029,5794.707,5627.376,5511.67,5389.25,5256.622,5129.794,4982.237,4864.393,4833.718,4815.376,4783.606,4916.902,5223.845,5112.574,4752.789,4434.393
39913,AP,4203.816,4078.982,3997.181,4028.321,4128.351,4346.537,4615.408,4879.941,5070.545,5123.918,5138.368,5049.948,4942.17,4844.232,4776.956,4691.26,4700.585,4663.618,4676.327,4680.772,4935.674,4764.503,4501.913,4169.638
39914,AP,3923.976,3799.824,3738.469,3737.987,3789.347,3860.321,4075.689,4356.905,4655.87,4952.678,5051.368,5039.329,4895.903,4769.839,4602.093,4481.126,4422.442,4446.196,4439.012,4527.235,4890.699,4887.192,4682.127,4439.252
39915,AP,4213.161,4125.641,4088.219,4106.096,4173.466,4352.14,4549.354,4704.794,4852.858,4944.46,4858.293,4733.844,4639.664,4423.514,4239.086,4076.203,3976.804,3990.682,4033.393,4232.148,4699.029,4737.825,4591.573,4353.637
39916,AP,4314.35,4311.001,4274.275,4364.792,4549.099,4884.244,5400.423,5634.045,5733.988,5797.615,5745.15,5637.827,5541.075,5385.327,5286.001,5175.92,5192.353,5271.293,5372.84,5538.839,5710.333,5480.309,5076.143,4716.298
39917,AP,4523.095,4380.595,4330.869,4313.136,4391.556,4775.466,5302.162,5513.114,5617.54,5629.825,5644.724,5614.024,5549.979,5502.162,5426.651,5378.72,5402.286,5517.478,5581.001,5679.479,5794.078,5571.569,5210.273,4802.609
39918,AP,4578.812,4422.864,4360.428,4413.106,4535.523,4777.841,5359.337,5659.937,5677.847,5713.473,5759.256,5747.223,5722.375,5697.712,5664.982,5622.515,5652.759,5687.2,5685.814,5817.019,5978.06,5726.588,5347.617,4937.732
39919,AP,4703.582,4626.027,4631.087,4619.089,4739.279,5138.806,5773.005,5926.094,5823.812,5655.381,5543.018,5386.088,5280.847,5230.009,5106.07,4964.477,4933.675,4867.027,4834.982,4970.246,5385.501,5221.731,4786.754,4404.712
39920,AP,4192.815,4154.382,4112.979,4151.877,4290.582,4695.766,5307.098,5517.256,5400.926,5280.888,5178.016,5087.685,4976.398,4919.419,4815.739,4748.247,4710.871,4653.871,4597.425,4608.122,4863.448,4807.268,4505.256,4132.532
