Date,Hour,Toronto
21-Jan-09,11,7214
21-Jan-09,12,7226
21-Jan-09,13,7186
21-Jan-09,14,7362
21-Jan-09,15,7463
21-Jan-09,16,7442
21-Jan-09,17,7499
21-Jan-09,18,7760
21-Jan-09,19,7833
21-Jan-09,20,7650
21-Jan-09,21,7434
21-Jan-09,22,7122
21-Jan-09,23,6676
21-Jan-09,24,6152
22-Jan-09,1,5765
22-Jan-09,2,5528
22-Jan-09,3,5397
22-Jan-09,4,5341
22-Jan-09,5,5361
22-Jan-09,6,5545
22-Jan-09,7,6082
22-Jan-09,8,6836
22-Jan-09,9,7033
22-Jan-09,10,7041
22-Jan-09,11,7287
22-Jan-09,12,7324
22-Jan-09,13,7317
22-Jan-09,14,7100
22-Jan-09,15,7225
22-Jan-09,16,7252
22-Jan-09,17,7319
22-Jan-09,18,7550
22-Jan-09,19,7584
22-Jan-09,20,7372
22-Jan-09,21,7169
22-Jan-09,22,6864
22-Jan-09,23,6395
22-Jan-09,24,5909
23-Jan-09,1,5490
23-Jan-09,2,5277
23-Jan-09,3,5150
23-Jan-09,4,5106
23-Jan-09,5,5137
23-Jan-09,6,5349
23-Jan-09,7,5861
23-Jan-09,8,6586
23-Jan-09,9,6792
23-Jan-09,10,6914
23-Jan-09,11,6989
23-Jan-09,12,6999
23-Jan-09,13,6940
23-Jan-09,14,6880
23-Jan-09,15,6838
23-Jan-09,16,6849
23-Jan-09,17,6980
23-Jan-09,18,7252
23-Jan-09,19,7258
23-Jan-09,20,7118
23-Jan-09,21,6934
23-Jan-09,22,6715
23-Jan-09,23,6406
23-Jan-09,24,5995
24-Jan-09,1,5645
24-Jan-09,2,5490
24-Jan-09,3,5375
24-Jan-09,4,5321
24-Jan-09,5,5294
24-Jan-09,6,5393
24-Jan-09,7,5573
24-Jan-09,8,5840
24-Jan-09,9,6149
24-Jan-09,10,6191
24-Jan-09,11,6248
24-Jan-09,12,6333
24-Jan-09,13,6326
24-Jan-09,14,6236
24-Jan-09,15,6160
24-Jan-09,16,6151
24-Jan-09,17,6287
24-Jan-09,18,6683
24-Jan-09,19,6867
24-Jan-09,20,6703
24-Jan-09,21,6511
24-Jan-09,22,6306
24-Jan-09,23,6077
24-Jan-09,24,5800
25-Jan-09,1,5519
25-Jan-09,2,5325
25-Jan-09,3,5147
25-Jan-09,4,5091
25-Jan-09,5,5082
25-Jan-09,6,5125
25-Jan-09,7,5267
25-Jan-09,8,5391
25-Jan-09,9,5583
25-Jan-09,10,5862
25-Jan-09,11,6013
25-Jan-09,12,6120
25-Jan-09,13,6155
25-Jan-09,14,6159
25-Jan-09,15,6113
25-Jan-09,16,6125
25-Jan-09,17,6245
25-Jan-09,18,6709
25-Jan-09,19,6931
25-Jan-09,20,6805
25-Jan-09,21,6659
25-Jan-09,22,6449
25-Jan-09,23,6140
25-Jan-09,24,5758
26-Jan-09,1,5475
26-Jan-09,2,5295
26-Jan-09,3,5235
26-Jan-09,4,5212
26-Jan-09,5,5259
26-Jan-09,6,5477
26-Jan-09,7,6001
26-Jan-09,8,6707
26-Jan-09,9,6919
26-Jan-09,10,7016
26-Jan-09,11,7099
26-Jan-09,12,7129
26-Jan-09,13,7098
26-Jan-09,14,7104
26-Jan-09,15,7080
26-Jan-09,16,7072
26-Jan-09,17,7171
26-Jan-09,18,7473
26-Jan-09,19,7597
26-Jan-09,20,7475
26-Jan-09,21,7237
26-Jan-09,22,6917
26-Jan-09,23,6444
26-Jan-09,24,5922
27-Jan-09,1,5585
27-Jan-09,2,5404
27-Jan-09,3,5278
27-Jan-09,4,5252
27-Jan-09,5,5224
27-Jan-09,6,5451
27-Jan-09,7,6059
27-Jan-09,8,6727
27-Jan-09,9,6919
27-Jan-09,10,6997
27-Jan-09,11,7040
27-Jan-09,12,6995
27-Jan-09,13,6950
27-Jan-09,14,6923
27-Jan-09,15,6869
27-Jan-09,16,6862
27-Jan-09,17,6975
27-Jan-09,18,7288
27-Jan-09,19,7427
27-Jan-09,20,7250
27-Jan-09,21,7025
27-Jan-09,22,6709
27-Jan-09,23,6274
27-Jan-09,24,5803
28-Jan-09,1,5427
28-Jan-09,2,5272
28-Jan-09,3,5159
28-Jan-09,4,5112
28-Jan-09,5,5138
28-Jan-09,6,5347
28-Jan-09,7,5867
28-Jan-09,8,6537
28-Jan-09,9,6778
28-Jan-09,10,6951
28-Jan-09,11,7097
28-Jan-09,12,7204
28-Jan-09,13,7195
28-Jan-09,14,7207
28-Jan-09,15,7143
28-Jan-09,16,7056
28-Jan-09,17,7075
28-Jan-09,18,7303
28-Jan-09,19,7456
28-Jan-09,20,7286
28-Jan-09,21,7073
28-Jan-09,22,6733
28-Jan-09,23,6323
28-Jan-09,24,5889
29-Jan-09,1,5491
29-Jan-09,2,5313
29-Jan-09,3,5228
29-Jan-09,4,5203
29-Jan-09,5,5230
29-Jan-09,6,5426
29-Jan-09,7,5894
29-Jan-09,8,6535
29-Jan-09,9,6752
29-Jan-09,10,6901
29-Jan-09,11,7048
29-Jan-09,12,7095
29-Jan-09,13,7086
29-Jan-09,14,7114
29-Jan-09,15,7108
29-Jan-09,16,7112
29-Jan-09,17,7125
29-Jan-09,18,7322
29-Jan-09,19,7431
29-Jan-09,20,7285
29-Jan-09,21,7057
29-Jan-09,22,6744
29-Jan-09,23,6324
29-Jan-09,24,5858
30-Jan-09,1,5470
30-Jan-09,2,5228
30-Jan-09,3,5099
30-Jan-09,4,5038
30-Jan-09,5,5063
30-Jan-09,6,5262
30-Jan-09,7,5749
30-Jan-09,8,6435
30-Jan-09,9,6675
30-Jan-09,10,6809
30-Jan-09,11,6912
30-Jan-09,12,6937
30-Jan-09,13,6887
30-Jan-09,14,6865
30-Jan-09,15,6833
30-Jan-09,16,6805
30-Jan-09,17,6832
30-Jan-09,18,7081
30-Jan-09,19,7224
30-Jan-09,20,7067
30-Jan-09,21,6913
30-Jan-09,22,6681
30-Jan-09,23,6324
30-Jan-09,24,5922
31-Jan-09,1,5547
31-Jan-09,2,5286
31-Jan-09,3,5200
31-Jan-09,4,5131
31-Jan-09,5,5045
31-Jan-09,6,5130
31-Jan-09,7,5312
31-Jan-09,8,5522
31-Jan-09,9,5716
31-Jan-09,10,5976
31-Jan-09,11,6131
31-Jan-09,12,6333
31-Jan-09,13,6339
31-Jan-09,14,6301
31-Jan-09,15,6304
31-Jan-09,16,6348
31-Jan-09,17,6399
31-Jan-09,18,6674
31-Jan-09,19,6818
31-Jan-09,20,6668
31-Jan-09,21,6467
31-Jan-09,22,6235
31-Jan-09,23,5970
31-Jan-09,24,5659
01-Feb-09,1,5321
01-Feb-09,2,5145
01-Feb-09,3,4979
01-Feb-09,4,4883
01-Feb-09,5,4823
01-Feb-09,6,4831
01-Feb-09,7,4906
01-Feb-09,8,5014
01-Feb-09,9,5166
01-Feb-09,10,5403
01-Feb-09,11,5530
01-Feb-09,12,5621
01-Feb-09,13,5692
01-Feb-09,14,5651
01-Feb-09,15,5622
01-Feb-09,16,5618
01-Feb-09,17,5703
01-Feb-09,18,6153
01-Feb-09,19,6450
01-Feb-09,20,6314
01-Feb-09,21,6147
01-Feb-09,22,5949
01-Feb-09,23,5660
01-Feb-09,24,5353
02-Feb-09,1,5030
02-Feb-09,2,4869
02-Feb-09,3,4771
02-Feb-09,4,4756
02-Feb-09,5,4827
02-Feb-09,6,5056
02-Feb-09,7,5608
02-Feb-09,8,6314
02-Feb-09,9,6517
02-Feb-09,10,6594
02-Feb-09,11,6673
02-Feb-09,12,6689
02-Feb-09,13,6657
02-Feb-09,14,6632
02-Feb-09,15,6567
02-Feb-09,16,6536
02-Feb-09,17,6592
02-Feb-09,18,6846
02-Feb-09,19,7100
02-Feb-09,20,6950
02-Feb-09,21,6750
02-Feb-09,22,6450
02-Feb-09,23,6031
02-Feb-09,24,5563
03-Feb-09,1,5229
03-Feb-09,2,5055
03-Feb-09,3,4942
03-Feb-09,4,4908
03-Feb-09,5,4962
03-Feb-09,6,5190
03-Feb-09,7,5745
03-Feb-09,8,6422
03-Feb-09,9,6652
03-Feb-09,10,6817
03-Feb-09,11,6920
03-Feb-09,12,7000
03-Feb-09,13,6970
03-Feb-09,14,6920
03-Feb-09,15,6855
03-Feb-09,16,6829
03-Feb-09,17,6865
03-Feb-09,18,7110
03-Feb-09,19,7337
03-Feb-09,20,7171
03-Feb-09,21,6947
03-Feb-09,22,6668
03-Feb-09,23,6253
03-Feb-09,24,5807
04-Feb-09,1,5464
04-Feb-09,2,5276
04-Feb-09,3,5212
04-Feb-09,4,5203
04-Feb-09,5,5256
04-Feb-09,6,5513
04-Feb-09,7,6052
04-Feb-09,8,6712
04-Feb-09,9,6932
04-Feb-09,10,7076
04-Feb-09,11,7166
04-Feb-09,12,7182
04-Feb-09,13,7145
04-Feb-09,14,7123
04-Feb-09,15,7040
04-Feb-09,16,7031
04-Feb-09,17,7122
04-Feb-09,18,7363
04-Feb-09,19,7654
04-Feb-09,20,7528
04-Feb-09,21,7342
04-Feb-09,22,7050
04-Feb-09,23,6621
04-Feb-09,24,6131
05-Feb-09,1,5783
05-Feb-09,2,5594
05-Feb-09,3,5470
05-Feb-09,4,5432
05-Feb-09,5,5469
05-Feb-09,6,5691
05-Feb-09,7,6211
05-Feb-09,8,6887
05-Feb-09,9,7050
05-Feb-09,10,7151
05-Feb-09,11,7212
05-Feb-09,12,7217
05-Feb-09,13,7141
05-Feb-09,14,7105
05-Feb-09,15,7022
05-Feb-09,16,7003
05-Feb-09,17,7061
05-Feb-09,18,7301
05-Feb-09,19,7564
05-Feb-09,20,7441
05-Feb-09,21,7229
05-Feb-09,22,6893
05-Feb-09,23,6460
05-Feb-09,24,5999
06-Feb-09,1,5657
06-Feb-09,2,5441
06-Feb-09,3,5321
06-Feb-09,4,5287
06-Feb-09,5,5294
06-Feb-09,6,5431
06-Feb-09,7,5907
06-Feb-09,8,6547
06-Feb-09,9,6737
06-Feb-09,10,6826
06-Feb-09,11,6888
06-Feb-09,12,6862
06-Feb-09,13,6785
06-Feb-09,14,6724
06-Feb-09,15,6644
06-Feb-09,16,6587
06-Feb-09,17,6606
06-Feb-09,18,6778
06-Feb-09,19,7019
06-Feb-09,20,6878
06-Feb-09,21,6733
06-Feb-09,22,6463
06-Feb-09,23,6050
06-Feb-09,24,5688
07-Feb-09,1,5336
07-Feb-09,2,5126
07-Feb-09,3,4987
07-Feb-09,4,4896
07-Feb-09,5,4867
07-Feb-09,6,4901
07-Feb-09,7,5036
07-Feb-09,8,5240
07-Feb-09,9,5491
07-Feb-09,10,5777
07-Feb-09,11,5984
07-Feb-09,12,6054
07-Feb-09,13,6041
07-Feb-09,14,5956
07-Feb-09,15,5831
07-Feb-09,16,5823
07-Feb-09,17,5889
07-Feb-09,18,6126
07-Feb-09,19,6275
07-Feb-09,20,6120
07-Feb-09,21,5926
07-Feb-09,22,5684
07-Feb-09,23,5490
07-Feb-09,24,5192
08-Feb-09,1,4952
08-Feb-09,2,4753
08-Feb-09,3,4618
08-Feb-09,4,4564
08-Feb-09,5,4551
08-Feb-09,6,4622
08-Feb-09,7,4760
08-Feb-09,8,4915
08-Feb-09,9,5084
08-Feb-09,10,5341
08-Feb-09,11,5528
08-Feb-09,12,5638
08-Feb-09,13,5672
08-Feb-09,14,5659
08-Feb-09,15,5583
08-Feb-09,16,5521
08-Feb-09,17,5640
08-Feb-09,18,5995
08-Feb-09,19,6344
08-Feb-09,20,6260
08-Feb-09,21,6152
08-Feb-09,22,5955
08-Feb-09,23,5630
08-Feb-09,24,5333
09-Feb-09,1,5047
09-Feb-09,2,4895
09-Feb-09,3,4798
09-Feb-09,4,4772
09-Feb-09,5,4804
09-Feb-09,6,5034
09-Feb-09,7,5557
09-Feb-09,8,6198
09-Feb-09,9,6415
09-Feb-09,10,6507
09-Feb-09,11,6599
09-Feb-09,12,6649
09-Feb-09,13,6608
09-Feb-09,14,6600
09-Feb-09,15,6536
09-Feb-09,16,6530
09-Feb-09,17,6579
09-Feb-09,18,6807
09-Feb-09,19,7011
09-Feb-09,20,6865
09-Feb-09,21,6664
09-Feb-09,22,6343
09-Feb-09,23,5918
09-Feb-09,24,5448
10-Feb-09,1,5083
10-Feb-09,2,4874
10-Feb-09,3,4757
10-Feb-09,4,4710
10-Feb-09,5,4749
10-Feb-09,6,4959
10-Feb-09,7,5519
10-Feb-09,8,6216
10-Feb-09,9,6454
10-Feb-09,10,6588
10-Feb-09,11,6748
10-Feb-09,12,6702
10-Feb-09,13,6658
10-Feb-09,14,6585
10-Feb-09,15,6515
10-Feb-09,16,6514
10-Feb-09,17,6547
10-Feb-09,18,6718
10-Feb-09,19,6845
10-Feb-09,20,6674
10-Feb-09,21,6450
10-Feb-09,22,6137
10-Feb-09,23,5697
10-Feb-09,24,5236
11-Feb-09,1,4871
11-Feb-09,2,4649
11-Feb-09,3,4522
11-Feb-09,4,4477
11-Feb-09,5,4518
11-Feb-09,6,4750
11-Feb-09,7,5289
11-Feb-09,8,5939
11-Feb-09,9,6184
11-Feb-09,10,6323
11-Feb-09,11,6445
11-Feb-09,12,6512
11-Feb-09,13,6523
11-Feb-09,14,6555
11-Feb-09,15,6540
11-Feb-09,16,6541
11-Feb-09,17,6606
11-Feb-09,18,6740
11-Feb-09,19,6796
11-Feb-09,20,6628
11-Feb-09,21,6425
11-Feb-09,22,6136
11-Feb-09,23,5745
11-Feb-09,24,5218
12-Feb-09,1,4836
12-Feb-09,2,4626
12-Feb-09,3,4503
12-Feb-09,4,4431
12-Feb-09,5,4469
12-Feb-09,6,4732
12-Feb-09,7,5312
12-Feb-09,8,6079
12-Feb-09,9,6371
12-Feb-09,10,6531
12-Feb-09,11,6658
12-Feb-09,12,6718
12-Feb-09,13,6666
12-Feb-09,14,6603
12-Feb-09,15,6533
12-Feb-09,16,6524
12-Feb-09,17,6575
12-Feb-09,18,6713
12-Feb-09,19,6902
12-Feb-09,20,6762
12-Feb-09,21,6559
12-Feb-09,22,6257
12-Feb-09,23,5856
12-Feb-09,24,5410
13-Feb-09,1,5046
13-Feb-09,2,4832
13-Feb-09,3,4730
13-Feb-09,4,4699
13-Feb-09,5,4749
13-Feb-09,6,4974
13-Feb-09,7,5477
13-Feb-09,8,6057
13-Feb-09,9,6305
13-Feb-09,10,6496
13-Feb-09,11,6612
13-Feb-09,12,6615
13-Feb-09,13,6546
13-Feb-09,14,6478
13-Feb-09,15,6363
13-Feb-09,16,6266
13-Feb-09,17,6265
13-Feb-09,18,6393
13-Feb-09,19,6697
13-Feb-09,20,6633
13-Feb-09,21,6461
13-Feb-09,22,6249
13-Feb-09,23,5890
13-Feb-09,24,5477
14-Feb-09,1,5177
14-Feb-09,2,4921
14-Feb-09,3,4774
14-Feb-09,4,4722
14-Feb-09,5,4697
14-Feb-09,6,4752
14-Feb-09,7,4906
14-Feb-09,8,5093
14-Feb-09,9,5300
14-Feb-09,10,5570
14-Feb-09,11,5760
14-Feb-09,12,5814
14-Feb-09,13,5816
14-Feb-09,14,5751
14-Feb-09,15,5713
14-Feb-09,16,5686
14-Feb-09,17,5756
