DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
6/21/2014,PS,4594.545,4312.287,4101.981,3967.305,3903.404,3780.584,3840.386,4046.841,4320.781,4586.229,4800.637,4930.86,5082.507,5189.174,5315.489,5438.374,5525.126,5588.256,5530.842,5383.028,5280.646,5277.879,5003.692,4671.879
6/22/2014,PS,4332.907,4101.488,3922.559,3812.254,3739.364,3649.612,3631.486,3769.81,4004.186,4259.352,4528.033,4767.147,4966.304,5167.895,5293.703,5361.915,5408.111,5429.802,5411.242,5288.615,5266.303,5312.422,5027.764,4636.423
6/23/2014,PS,4275.824,4062.388,3915.327,3844.317,3878.53,3970.312,4321.464,4820.997,5205.62,5525.894,5804.991,6079.611,6339.622,6581.607,6721.305,6814.538,6819.279,6754.814,6550.513,6347.674,6205.529,6110.546,5661.843,5132.22
6/24/2014,PS,4685.47,4388.673,4196.624,4095.388,4097.19,4174.939,4520.217,5015.651,5369.927,5665.03,5930.054,6178.846,6412.329,6591.938,6769.698,7006.748,7210.333,7285.407,7121.396,6870.483,6631.912,6471.21,5962.494,5419.038
6/25/2014,PS,4977.186,4687.852,4503.526,4422.016,4452.571,4624.967,5015.868,5484.982,5860.197,6164.36,6553.581,6952.711,7317.753,7651.085,7934.818,8155.12,8197.566,8138.089,7889.416,7666.177,7563.221,7400.006,6859.47,6218.513
6/26/2014,PS,5582.374,5205.295,4965.006,4817.771,4794.738,4890.534,5206.337,5702.42,6134.481,6471.501,6777.115,7017.395,7255.307,7479.893,7655.727,7810.608,7925.385,7918.391,7749.213,7534.746,7331.07,7166.753,6639.909,6059.253
6/27/2014,PS,5532.671,5143.056,4876.764,4723.156,4680.305,4756.058,5005.246,5398.821,5744.727,6079.234,6382.71,6608.879,6779.982,6963.138,7129.559,7222.145,7244.652,7199.666,6962.171,6620.505,6322.756,6155.505,5729.68,5250.836
6/28/2014,PS,4813.414,4489.415,4268.534,4116.444,4038.588,3953.093,4023.699,4265.987,4627.653,4980.289,5348.188,5686.258,5929.56,6130.147,6282.662,6468.322,6622.271,6682.018,6513.308,6252.135,6081.399,5970.677,5612.062,5201.86
6/29/2014,PS,4793.781,4474.782,4237.384,4085.856,3993.762,3886.036,3866.482,4044.712,4334.848,4735.955,5132.877,5542.14,5852.148,6103.751,6257.652,6377.021,6443.716,6405.972,6235.195,6040.192,5935.616,5902.111,5574.802,5154.462
6/30/2014,PS,4759.932,4479.215,4295.691,4207.234,4235.785,4340.211,4663.978,5118.163,5527.062,5895.842,6274.151,6569.669,6866.756,7163.859,7439.282,7658.134,7839.986,7898.238,7764.453,7548.282,7370.886,7231.768,6708.507,6104.836
7/1/2014,PS,5581.466,5188.697,4926.433,4776.284,4753.317,4846.275,5175.166,5675.913,6140.093,6662.829,7182.27,7680.704,8084.931,8371.891,8603.421,8763.936,8835.638,8852.842,8626.844,8440.977,8250.071,8028.053,7417.682,6754.668
7/2/2014,PS,6181.522,5780.307,5501.893,5343.061,5281.746,5345.042,5654.825,6261.396,6829.904,7374.849,7907.884,8457.484,8864.178,9137.807,9369.012,9451.288,9515.218,9263.023,8621.29,8107.608,7734.714,7324.149,6787.059,6228.181
7/3/2014,PS,5684.597,5390.668,5194.317,5052.951,5047.782,5168.204,5460.578,5923.792,6408.786,6815.39,7217.516,7642.288,8019.297,8342.682,8591.34,8746.021,8829.787,8797.092,8420.449,7904.455,7273.244,6864.05,6389.181,5904.132
7/4/2014,PS,5441.818,5111.104,4877.648,4724.334,4666.376,4666.203,4647.13,4708.58,4824.865,4933.186,5069.878,5223.93,5231.447,5129.744,4997.307,4858.053,4826.482,4885.464,4873.94,4800.319,4713.391,4708.467,4548.214,4311.004
7/5/2014,PS,4047.239,3844.678,3697.141,3615.029,3566.187,3515.012,3526.785,3694.308,3922.655,4158.352,4372.239,4531.567,4674.271,4792.636,4941.35,5134.595,5353.854,5503.758,5545.625,5462.158,5338.378,5314.345,5055.127,4726.41
7/6/2014,PS,4399.896,4139.84,3944.396,3822.766,3743.258,3634.54,3606.589,3740.072,3991.837,4289.142,4610.585,4919.366,5184.376,5408.962,5648.14,5901.142,6121.51,6247.361,6195.001,6084.736,6024.052,6025.156,5756.639,5360.534
7/7/2014,PS,4982.637,4720.31,4556.577,4465.333,4492.084,4647.67,4948.863,5459.698,5974.293,6460.283,6924.32,7321.794,7677.497,7998.595,8306.046,8535.988,8700.466,8745.361,8591.925,8351.121,8181.387,7998.375,7442.036,6826.771
7/8/2014,PS,6228.284,5684.674,5406.178,5225.757,5181.006,5224.884,5562.433,6130.856,6540.989,7018.617,7492,7965.555,8354.018,8702.833,8983.117,9188.827,9289.863,9233.788,9023.194,8758.363,8633.59,8111.032,7247.084,6486.449
7/9/2014,PS,5777.479,5416.202,5177.246,5023.128,4967.321,5039.339,5310.596,5838.882,6300.839,6707.678,7046.621,7288.117,7558.966,7889.268,8139.898,8362.759,8472.322,8414.034,8152.027,7860.068,7583.038,7433.503,6912.649,6326.568
7/10/2014,PS,5830.256,5441.464,5161.871,4990.789,4926.502,5002.061,5244.485,5684.218,6027.785,6293.819,6536.999,6693.228,6807.993,7083.293,7348.945,7604.532,7766.334,7772.571,7498.77,7191.688,6968.767,6798.45,6331.725,5803.707
7/11/2014,PS,5355.158,5034.214,4825.823,4697.842,4675.083,4747.964,4985.664,5433.226,5794.286,6141.171,6460.674,6750.596,6996.23,7249.695,7493.108,7600.397,7665.583,7606.804,7338.183,7018.606,6789.707,6624.68,6171.079,5699.149
7/12/2014,PS,5242.983,4907.565,4666.997,4487.605,4391.401,4313.023,4342.711,4619.19,5045.039,5458.13,5874.16,6216.4,6499.262,6740.553,6891.74,7013.417,7097.681,7095.891,6940.575,6669.377,6516.389,6399.939,6042.228,5619.744
7/13/2014,PS,5240.513,4941.617,4728.036,4591.765,4513.556,4466.246,4405.203,4583.905,4863.389,5158.944,5343.155,5693.262,6167.781,6527.142,6806.511,7016.449,7110.778,7239.087,7227.74,7233.201,7300.295,7242.014,6863.087,6314.332
7/14/2014,PS,5624.138,5264.327,5062.926,4951.315,4944.383,5093.539,5368.58,5845.942,6259.53,6523.145,6796.698,7023.279,7263.305,7602.525,7924.617,8143.768,8317.21,8167.592,7813.34,7571.979,7265.143,6958.662,6485.173,5975.524
7/15/2014,PS,5547.152,5251.243,5045.532,4957.02,4965.597,5135.303,5464.565,5952.447,6323.153,6641.703,7061.882,7362.591,7656.669,8025.55,7964.708,7773.3,7702.761,7577.435,7314.57,7109.689,6956.304,6692.415,6251.997,5770.555
7/16/2014,PS,5347.118,5061.614,4880.183,4791.133,4799.287,4980.704,5280.317,5573.675,5734.993,5859.786,5981.324,6133.436,6291.686,6524.713,6812.646,7080.686,7242.142,7214.794,6990.341,6709.85,6545.428,6416.34,5929.577,5406.213
7/17/2014,PS,4923.386,4597.381,4377.126,4266.069,4250.449,4361.897,4591.11,5005.616,5366.168,5675.38,5979.711,6266.824,6474.357,6603.755,6709.536,6838.543,6942.442,6950.58,6785.573,6526.188,6325.784,6165.459,5700.166,5195.126
7/18/2014,PS,4756.008,4448.824,4249.637,4124.667,4105.115,4189.039,4396.726,4816.29,5181.789,5473.334,5735.746,5943.453,6133.574,6353.471,6532.319,6654.889,6759.629,6749.011,6539.181,6294.622,6172.668,6019.097,5606.157,5163.069
7/19/2014,PS,4771.557,4501.772,4301.674,4178.164,4124.688,4115.859,4135.002,4287.293,4531.509,4842.074,5056.092,5219.844,5271.787,5319.707,5405.867,5449.126,5470.76,5479.707,5480.786,5405.309,5418.226,5394.665,5149.328,4865.626
7/20/2014,PS,4570.167,4334.098,4160.484,4052.334,3999.698,3974.363,3914.63,3982.566,4166.01,4393.826,4687.65,4931.489,5137.482,5292.733,5431.544,5600.266,5745.679,5859.43,5879.941,5759.728,5732.027,5711.686,5409.071,5000.901
7/21/2014,PS,4615.632,4349.367,4177.961,4097.333,4113.965,4269.25,4506.486,4950.193,5335.123,5669.811,5991.952,6293.624,6553.915,6876.133,7138.241,7342.468,7490.836,7472.664,7228.322,7026.402,6882.178,6692.616,6177.848,5625.394
7/22/2014,PS,5149.651,4807.348,4593.836,4455.996,4435.973,4547.253,4815.335,5309.187,5752.75,6201.507,6676,7111.51,7457.892,7759.113,8014.85,8202.097,8328.082,8365.731,8190.906,7945.823,7793.013,7554.596,6926.982,6269.809
7/23/2014,PS,5714.739,5315.044,5039.523,4838.881,4826.966,4936.867,5201.012,5680.19,6153.395,6624.54,7148.659,7650.385,8120.771,8529.263,8780.86,8984.976,9118.505,9097.654,8821.846,8581.254,8351.071,7766.717,7114.642,6479.158
7/24/2014,PS,5951,5549.28,5260.179,5063.685,4988.516,5097.579,5325.694,5678.673,5942.293,6204.599,6461.713,6559.901,6603.9,6700.648,6850.453,7047.264,7172.896,7172.932,6977.963,6681.787,6562.65,6380.909,5906.852,5373.191
7/25/2014,PS,4912.945,4587.191,4377.445,4244.416,4215.163,4301.433,4503.307,4904.85,5265.033,5547.106,5827.955,6077.599,6316.08,6510.125,6723.033,6904.245,7033.377,7062.858,6890.436,6641.046,6487.889,6281.62,5842.342,5398.356
7/26/2014,PS,4968.204,4645.371,4436.006,4280.694,4210.712,4175.32,4160.182,4348.198,4676.867,5027.921,5253.667,5287.408,5380.043,5542.012,5746.958,5823.164,5935.94,6013.372,6054.591,5972.539,5982.129,5942.686,5677.278,5347.902
7/27/2014,PS,5001.431,4718.288,4506.499,4379.359,4307.215,4292.26,4251.078,4374.914,4623.543,4923.695,5297.892,5623.665,5958.535,6257.851,6567.499,6845.714,7107.596,7270.105,7285.266,7124.008,7130.578,7042.754,6685.174,6187.333
7/28/2014,PS,5667.93,5215.768,4996.678,4859.58,4792.8,4924.33,5157.819,5557.057,5874.763,6175.482,6398.362,6595.454,6795.961,7017.954,7219.587,7314.238,7312.021,7279.628,7018.985,6599.905,6405.919,6181.179,5698.311,5184.172
